Genus + Species + Sub species + Authority,Checklist code,Endemic status,Status with Criteria (South Asia),National Status - 1,Map file,Synonyms,Common names,Family,Habit,Habitat,Niche,Distribution,Global,South Asia,Extent of Occurrence,Area of Occupancy,Locations/subpopulations,Habitat status,Data source - 1,Threats,Threats to the taxon,Trade,Data source - 2,Population,Generation time,Mature individuals,Population trend,Data source - 3,Red List 2001 Status derived in the workshop,Ver. 3.1:,1997 CAMP (Ver. 2.3):,National Status - 2,Uncertainty,Other status,Red List of Threatened Species (2000),Microchiroptera Action Plan (Global),Old World Fruit Bats Action Plan (Global),CITES,Known presence in Protected Areas,Recommendations ,Research,Management,Captive breeding,Comments ,Sources,Compilers,Reviewers,Recent Field Studies
"Areilulus circumdatus(Temminck, 1840) ",BAT1,Non Endemic to South Asia,LEAST CONCERN in South Asia  ,"India Least Concern 
Nepal Near Threatened ",Areilulus_circumdatus_map.pdf,"Pipistrellus (Arielulus) circumdatus  (Temminck, 1840)
Pipistrellus circumdatus  (Temminck, 1840)
Vespertilio circumdatus  Temminck, 1840",Black-gilded Pipistrelle ,Vespertilionidae,,,At least 2031m. ,,"China, India, Myanmar, Nepal",INDIA: Assam: Guwahati University; Meghalaya: Shillong; Sikkim: Hee Gyathang; NEPAL: Num,"> 20,000 sq km","> 2,000 sq km",4 / 2. Fragmented.,Stable,"Literature, field study; inferred, observed",,Not known,,,4-6 years,Not known,Not known,,,,LEAST CONCERN  ,,"India Least Concern 
Nepal Near Threatened ",Assessed based on evidence and on the consensus of field biologists.,,Not Evaluated,Lower Risk least concern,,Not listed,None,,"Survey, ecology. ","Habitat management, monitoring.",Techniques not known at all. ,The species Pipistrellus (Arielulus) circumdatus has been upgraded to species Arielulus circumdatus. Only known from four locations. No information is available on population size or threats or habitat. Recent information for one site suggests that the habitat is not threatened. ,"Bates & Harrison, 1997; Hutson  et al., 2001; Temminck, 1835, 1837, 1840, 1841.","A.C. Girish, J.K. Immanuel, S. Kandula, V.S. Korad, G. Nair, P.T. Nathan, A. Nobel, J. Koilraj, R. Rajashekar, K. Seedikkoya, T.K. Shrestha, E.A.A. Shukkur, D.P. Swamidoss, W. Yapa",Rest of the participants,"A. Ali, Gauhati University, Jalukbari, Assam, India. 1999, bat survey S. Mistry, Sikkim, India. 1992. Survey"
"Asellia tridens(Geoffroy, E., 1813)",BAT2,Non Endemic to South Asia,NOT EVALUATED  in South Asia  ,,,"Rhinolophus tridens  Geoffroy, E. 1813
Phyllorhina tridens var. murraiana  Anderson, 1881 ",Trident Bat,Hipposideridae,Gregarious and colonial,Arid areas,Crevices or in the roofs of cliffs,,"West Africa, Arabia and Iran to Pakistan","PAKISTAN: Baluchistan: Panjgur, Nushki; Sind: Karachi, Thatta: AFGHANISTAN: Dilaram, Kandahar, Seistan",Not known,Not known,Not known,Not known,,,Not known,,,,Not known,Not known,Not known , ,,NOT EVALUATED  ,,,,,,Lower Risk least concern,,Not listed,None,, , ,,,"Anderson, 1881; Bates & Harrison, 1997; Geoffroy, E. 1813",,,None
"Barbastella leucomelas</I>(Cretzschmar, 1830/31)",BAT3,Non Endemic to South Asia,NEAR THREATENED  in South Asia ,"India Near Threatened 
Nepal Near Threatened 
Pakistan Data Deficient ",Barbastella_leucomelas_map.pdf,"Vespertilio leucomelas  Cretzschmar, 1830/31
Barbastella blandfordi  Bianchi, 1917
Plecotus darjelingensis  Hodgson, in Horsfield, 1855",Eastern Barbastelle,Vespertilionidae ,"Solitary, nocturnal ",Himalayan moist temperate forest and dry coniferous forest.,"Caves, tunnels, crevices, tree hollows, bark. 1800m. ",,"Afghanistan, India, Iran, 
Nepal: Annapurna conservation area
Makalu Barun National Park
Rara National Park
Nepal, map 60, 5 localities
Pakistan: Northern Areas
Gilgit
Naltar 
NWFP
Dunga Gali
","AFGHANISTAN: Kalat-us-Seraj, Kamdesh, Wazi Bagh; INDIA: Himachal Pradesh: Simla; Jammu & Kashmir: Akhnoor, Bhaderwah, Poonch, Yangi Dawar; Meghalaya: Khasi Hills, Shangpung; Sikkim: Hee Gyathang, Lachung, Mangpu; Uttar Pradesh: Kapkot; Uttaranchal: Mussoorie; West Bengal: Darjeeling, Hasimara, Karseong, Nimbong, Tong Song; NEPAL: Annapurna conservation area, Makalu Barun National Park, Rara National Park, Nepal, map 60, 5 localities; PAKISTAN: Northern Areas: Gilgit, Naltar; NWFP: Dunga Gali","> 20,000 sq km","> 2,000 sq km",Approximately 20 / not known. Not fragmented. ,"Decrease in area < 10% in the last 5 years due to deforestation. Decrease in quality due to deforestation.  Habitat status is based on information from Nepal.  Since the threat is similar in other parts of the species distribution, habitat status may be the same.","Field study, literature; inferred",,"Habitat loss, habitat alteration in the past, present and predicted in future. Threats influencing the status of the taxa are not understood, not reversible and have not ceased to be a threat.",Not in trade,Field study; inferred.,,Not known,Not known,Not known,,,"NEAR THREATENED 
Although widely distributed, habitat change and destruction could have an impact on the populations in the future.  The species is not of least concern in the region.",,"India Near Threatened 
Nepal Near Threatened 
Pakistan Data Deficient ","Assessed based on evidence, inference, precaution and on the consensus of field biologists.",,Not Evaluated,Lower Risk least concern,,Not listed,"NEPAL: Annapurna Conservation Area, Makalu Barun National Park, Rara National Park",,Survey,Monitoring ,Propagation techniques not known at all. ,"Hibernates in winter. Shrestha has observed 15 individuals near Mugu village in Rara National Park, Nepal. Locations or subpopulations may not be fragmented if found in Central and Western Nepal.","Bates & Harrison, 1997; Cretzschmar, 1826-31; Hutson  et al., 2001; Shrestha, 1997; Wilson & Reeder, 1993","S. Mistry, M. Muni, K.R. Senacha, T.K. Shrestha, K.S. Sreepada, C. Srinivasulu",Rest of the participants,"T.K. Shrestha in Western Nepal, 1997-1999, Mammals of Nepal.
S. Mistry in Sikkim, 1992, Survey.
"
"Coelops frithii Blyth, 1848",BAT4,Non Endemic to South Asia,NEAR THREATENED  in South Asia ,"Bangladesh Near Threatened 
India Near Threatened     ",Coelops_frithii_map.pdf,,Bengali: Lejhin Patanak Chamchika  English: Tail-less Leaf-nosed Bat ,Hipposideridae,Colonial species with up to 16 individuals. ,Forests,Hollow trees or caves. Up to 1370m. ,,"Bangladesh, China, India, Indonesia, Malaysia, Myanmar, Taiwan and Vietnam",BANGLADESH: Sunderbans; INDIA: Meghalaya: Cherrapunji; West Bengal: Darjeeling; MYANMAR (NORTHERN): Htingnan ,"> 20,000 sq km.","> 2,000 sq km.", 4 / 4. Fragmented. ,Decrease in area < 20% in 10 years due to deforestation. Decrease in quality due to deforestation.,"Literature, museum; inferred.",,"Deforestation.  Threat influencing the status of the taxa is not well understood, not reversible and has not ceased.",,Field study; inferred.,,Not known,Not known,Not known,,,"NEAR THREATENED 
Although widely distributed, habitat change and destruction could have an impact on the populations in the future.  It is Near Threatened on account of only four locations, no recent collections and loss of forest habitat.
",,"Bangladesh Near Threatened 
India Near Threatened     ",Assessed based on evidence and on the consensus of field biologists.,,Not Evaluated,Lower Risk least concern,,Not listed,None,,"Survey, limiting factor research, PHVA pending ",Monitoring public awareness,Techniques not known at all. ,There is decrease in forest due to human habitation expansion (Y.P. Sinha).,"Blyth, 1848; Bates & Harrison, 1997; Hutson  et al.  2001; Khan, 2001; Wilson & Reeder, 1993 ","P.J.J. Bates, P.C.M.B. Digana, S. Kandula, G. Nair, E.A.A. Shukkur, R. Rajashekar, A. Thabah, W. Yapa",Rest of the participants,None
"Cynopterus brachyotis (Muller, 1838)",BAT5,Non Endemic to South Asia,LEAST CONCERN  in South Asia ,"India Least Concern 
Sri Lanka Least Concern    ",Cynopterus_brachyotis_map.pdf,"Pachysoma brachyotis  Mϋller, 1838
Cynopterus marginatus var. ceylonicus  Gray, 1871",Lesser Dog-faced Fruit Bat ,Pteropodidae,"Arboreal, solitary and in small colonies. ","Urban areas, forests. ",Palm-foliage.  Up to 2000m.,,"Sri Lanka, India, Malaysia, Phillippines, Borneo, Sumatra, Sulawesi and Talaud Islands and adjacent small islands ","INDIA: Andhra Pradesh: ?Balapalli; Goa: Molem, Paiguin; Karnataka: Nagarahole, Jog Falls, Sirsi, ?Virajpet; Maharashtra: Khandala, Mahabaleshwar; Nagaland: Mon Dishilt; Tamil Nadu: Agasthyamalai, Centre Camp, near Chinnamanur, Coutrallam Hills, Kakachi, Kalakkad-Mundanthurai Tiger Reserve, Kanikatti, Madurai; SRI LANKA: Central Province: Hakgalla, Kumbalgamuwa, Medamahanuwera, Mousakande, Pundaluoya, Urugala; Uva Province: Dammeria, Passara","> 20,000 sq km.","> 2,000 sq km.",Many.  May not be fragmented.,Decrease in area and quality of habitat due to felling of trees.,General field study; observed.,,"Habitat loss, timber, deforestation.  Threats well understood, reversible but have not ceased.",Field study; inferred.,,,4-6 years.,"> 10,000. Mature individuals stable.",Not known,,,LEAST CONCERN ,,"India Least Concern 
Sri Lanka Least Concern    ",Assessed based on evidence and on the consensus of field biologists.,,Not Evaluated,,Not threatened ,Not listed,"INDIA: Nagarahole National Park, Kalakkad-Mundanthurai Tiger Reserve; Sri Lanka: Hakgalla National Park",,Survey ,Monitoring,,"Information on threats from India only. There is no threat in Sri Lanka.  Breeding seasonality and other behavioural and activity patterns are not fully understood.  Though it is found in the plains of South East Asian countries, it is found only in hilly regions of the Indian subcontinent (P.T. Nathan).","Bates & Harrison, 1997; Mickleburgh  et al., 1992; Mϋller, 1838; Wilson & Reeder, 1993","D.P.S. Doss, A.C. Girish, N. Gopukumar, J.K. Immanuel, D.S. Joshi, S. Kandula, A.J. Koilraj, V.S. Korad, G. Marimuthu, P.T. Nathan, K. Nathar, A. Noble, P. Padmanabhan, R. Rajashekar, K. Seedikkoya, E.A. A. Shukkur, N. Singaravelan, S.P.R. Solomon, D.P. Swamidoss, W. Yapa, K. D. Yardi ",Rest of the participant ,"J. Balasingh, D.P. Swamidoss, A. Prakash and K. Immanuel in Agasthyamalai, Coutralam Hills, Kannikatti, Kakachi, 1997-2000, habitat specification, foraging behaviour and population estimation.
Y.P. Sinha in Nagaland, June 1990."
"Cynopterus sphinx (Vahl, 1797)",BAT6,Non Endemic to South Asia,LEAST CONCERN  in South Asia  ,"Bangladesh  Least Concern 
Bhutan Data Deficient 
India Least Concern 
Nepal Least Concern 
Pakistan Data Deficient 
Sri Lanka Least Concern ",Cynopterus_sphinx_map.pdf,"Vespertilio sphinx  Vahl, 1797
Cynopterus angulatus  Miller, 1898
Cynopterus brachysoma  Dobson, 1871
Cynopterus marginatus  (var. Pachysoma scherzeri ) Zelebor, 1869
Cynopterus marginatus  var. andamensis  Dobson, 1873
Cynopterus marginatus  var. ellioti  Gray, 1870
Cynopterus sphinx gangeticus  Andersen, 1910
Pachysoma brevicaudatum  Temminck, 1837
Pteropus marginatus  Geoffroy, E. 1810
Pteropus pusillus  Geoffroy, E., 1803
Vespertilio fibulatus  Vahl, 1797",Bengali Bucha-nak Kola Badur; English Short-nosed (Indian) Fruit Bat,Pteropodidae,Arboreal,"Agricultural lands, orchards, forests, buildings",Trees Up to 2000m. ,,"Bangladesh, Bhutan, India, Myanmar, Nepal, Pakistan, Sri Lanka","BANGLADESH: Dhaka, Jaintiapur, Jalchatra, Pabna District, Savar Farm, Sundarabans, Southern, Western, Northern Districts; BHUTAN: Phuntsholing: INDIA: Andaman & Nicobar Islands: Car Nicobar-Nicobar Islands, Great Nicobar-Nicobar Islands, Mandapahar-Andaman Islands, Mondopobae-Andaman Islands, Port Blair-Andaman Islands; Andhra Pradesh: Balapalli, Bimlipatam, Coringa Wildlife Sanctuary, Cuddapah, Hyderabad city, Kawal Wildlife Sanctuary, Koduru, Nallamala hills, Telengana, Vishakhapatnam; Arunachal Pradesh: Bhalukpung, Miao, Namdapha; Assam: Golaghat, Srimantapur area; Bihar: Barkagaon, Champaran-Koch, Darbhanga, Gaya, Hazaribag, Katihar, Luia, Munger, Patna, Purnea, Rohtas, Samastipur, Santal Pargana, Singar, Singhbhum; Chhattisgarh: Bastar, Indravati National Park; Goa: Margao, Valpoi; Gujarat: Anand, Danta, Silvassa, Surat, Vedtial; Jammu & Kashmir: Jhajjar Kotli; Karnataka: Bangalore, Belgaum, Chettalli, Dharwar, Hampi, Honawar, Kidu, Mangalore, Mysore, Seringapatnam; Kerala: Azhur, Cochin, Kalli, Talipot, Trivandrum, Vulany; Madhya Pradesh: Ambikapur, Balaghat, Jabalpur, Kanha National Park, Mandla, Orcha, Shahpura, Umaria; Maharashtra: Bandra, Bombay, Chanda, Lonar Crater forest, Nasik, Pune; Meghalaya: Baghmara, Cherrapunji, Daragiri, East Khasi hills, Kherapera, Margherita, Mawryngkueng, Rongrengiri, Sibbari, Songsak, Tura, Umkiang, Williamnagar; Nagaland: Naga Hills; Orissa: Baleshwar, Bolangir, Bonaigarh, Dhenkanal, Ganjam, Kalahandi, Keonjhar, Koraput, Mayurbhanj, Phulbani, Puri, Sambalpur, Sundargarh; Rajasthan: Banswara and Jhalawar, Bundi; Tamil Nadu: Coimbatore, Courtallam, Cumbam valley, Dharmapuri, Kanyakumari, Karapar, Cotengady, Keezhappatti, Madurai, Meelakkal, Solanvandan Taluk, Mukkudal, Oothupatti, Point Calimere, Puddupatti, Silukkuvarpatti, Sri Vaikundam, Suruli Hills, Tirunelveli,  Tranquebar, Cumbum , Upper Manalaar , Vannathiparai; Tripura: Abhoya, Agartala, Ambassa, Ampi, Chailingta, Charilam, Ganganager, Garjee, Kanchanpur, Teliamura; Uttar Pradesh: Almora, Banaras, Chamoli, Dehra Dun, Lucknow, Mirzapur, Naini Tal, Pauri, Philibhit, Pithoragarh; West Bengal: Bankura, Barddhama, Birbhum, Kolkata, Darjeeling, Haora, Hugli, Jalpaiguri, Maldah, Medinipur, Murshidabad, Nadia, North 24-Parganas, Puruliya, South 24-Parganas, West Dinajpur; MYANMAR (NORTHERN): Amharst, Bagan, Kin, Kindat, Mon state, Mount Popa, Pagan, Pyaunggaung, Toungoo, Yangon; SRI LANKA: North Central Province: Anuradhapu, Noitchigama, Tammannewa; North Western Province: Kala Oya, Kurenegala; Central Province: Ambawela, Elahera, Matale, Mousakande, Pallama, Sigiriya, Urugala; Western Province: Bulathsinghala, Colombo, Dehiwala, Matugama; Sabaragamuwa Province: Bogala, Pagoda; Southern Province: Hambantota, Mapalagama ","> 20,000 sq km.","> 2,001 sq km.",Many. Not fragmented.,Communal species. Highly adaptive species.,Field studies; observed.,,"Habitat loss, development, dams, deforestation, exploitation, hunting, hunting for medicine. ",Field study; inferred.,,,4-6 years,"> 10,000",There is no decline in population and it is not predicted in the future.,Field study; inferred.,,LEAST CONCERN  ,,"Bangladesh  Least Concern 
Bhutan Data Deficient 
India Least Concern 
Nepal Least Concern 
Pakistan Data Deficient 
Sri Lanka Least Concern ",Assessed based on evidence and on the consensus of field biologists.,,Not Evaluated,,Not threatened,Not listed,"INDIA: Point Calimere Wildlife Sanctuary, Tamil Nadu; Coringa Wildlife Sanctuary, Kawal Wildlife Sanctuary, Nagarjunasagar-Srisailam Tiger Reserve, Andhra Pradesh; Kanha National Park, Madhya Pradesh; Indravati National Park, Chhattisgarh.",,Survey,Monitoring,,"One of the most abundant bats in South Asia.  Recently it has been found that adult male bats roosting alone are also engaged in breeding activities.  So it is extremely important that an adequate number of sites for male roosts are supplied near a harem.  Commensal species, the abundance of which has probably increased due to man.","Bates & Harrison, 1997; Harshey & Chandra, 2001; Khan, 2001; Mickleburgh  et al., 1992; Vahl, 1797; Wilson & Reeder, 1993","A. Ali, P.J.J. Bates, P.C.M.B. Digana, S. Kandula, G. Nair, R. Rajashekar, E.A.A. Shukkur, A. Thabah, W. Yapa",Rest of the participants,"H. Raghuram in Meelakkal, Solavandan Taluk, Oothupatti, Madurai, TN, India, 2000-2001. 
V. Elangovan, G. Marimuthu, N. Gopukumar in Madurai, Jan 2000-Sep 2001, Age estimation and feeding behaviour. 
D.S. Joshi, <I>et al.</I> in Lonar Crater, Buldhana district, Maharashtra, Mar 2000, Field study.
P.T. Nathan in Tirunelveli, 2000, Roosting pattern 
J. K. Immanuel, K. Y. S. Priya, H. Raghuram, N. Singaravelan, N. Gopukumar, G. Marimuthu, P.T. Nathan & V. Elangovan in Madurai, 1996-1999, Group composition.
P.S. Doss in Courtallam, 2001, Juvenile dispersion, mating systems. 
P.T. Nathan in Tirunelveli, 1996-2000, breeding population age-structure.
B. Srinivasulu & C. Srinivasulu in Hyderabad city, 1997 onwards, monitoring the effects of control netting in grape orchards on target and non target species.
C. Srinivasulu throughout Andhra Pradesh, 1995 onwards, documentation of bat/Chiroptera diversity in Andhra Pradesh. 
J. Vanitharani & S. Jayaprabha in Mukkudal near Ambai, Rajendra nagar, Palayamkottai, 2000.
Y.S. Korad & K.D. Yardi in Pune city, 1998-2001, Ecological study and faunistic survey of bats in Pune corporation limits.
M.A. Ali, Srimantapur in Guwahati, 1997, Food and feeding behaviour of C. sphinx. 
A.K. Chakravarthy & A.C. Girish in Kidu, Chettalli, Karnataka, 1999-2000"
"Eonycteris spelaea (Dobson, 1871)",BAT7,Non Endemic to South Asia,LEAST CONCERN in South Asia  ,India   Least Concern   ,Eonycteris_spelaea_map.pdf,"Macroglossus spelaeus  Dobson, 1871",Dawn (Cave) Fruit Bat ,Pteropodidae,"Cave dweller, colonial/social. ","Moist deciduous, hilly-forested tracts, evergreen forests. ",Cave. Up to 1000m. ,,"India, Burma, S. China, Thailand, W. Malaysia, Borneo, Sumatra, Java, Sumba, Indonesia, Philippines","INDIA: Andaman & Nicobar Islands: Chiriatapu, Andaman Islands; Andhra Pradesh: Vishakhapatnam District; Assam: Kherkheria; Karnataka: Muroor, Nislneer; Manipur: Jiribam; Meghalaya: Cherrapunji, La-ilad, Siju Cave, Umkiang; Nagaland: Zunheboto; Sikkim: Hee Gyathang; Tamil Nadu: KMTR-Ingikuzhi; Uttaranchal: Naini Tal, Pithoragarh; MYANMAR (NORTHERN): Yangon: Amherst, Kyan , Mon, Moulmein  ","> 20,000 sq km.","> 2,000 sq km.",Many.  Fragmented,Habuitat loss due to deforestation and human interference.,"Field study, observed.",,"Habitat loss.  Influence of threat on the population well understood, not reversible and has not ceased.",,Field study; inferred.,,4-6 years.,"> 10,000.  Global population could be > 100,000.",Decline in the past unknown. ,Field study; inferred.,,LEAST CONCERN  ,Vulnerable D2,India   Least Concern   ,Assessed based on evidence and on the consensus of field biologists.,,Not Evaluated,Not threatened,,Not listed,"INDIA: Kalakkad-Mundanthurai Tiger Reserve, Tamil Nadu    ",,Survey,Monitoring,,"More than 100,000 individuals in Myanmar. ","Dobson, 1871; Bates & Harrison, 1997; Bhat & Sreenivasan, 1990; Mickleburgh  et al., 1992; Wilson & Reeder, 1993","S. Mistry, M. Muni, Y.P. Sinha, K.S. Sreepada, C. Srinivasulu, K.M. Swe",Rest of the participants,"K.M. Swe in Myanmar, 1999-2001, Systematics and Conservation. 
S. Doss <I>et al</I> in KMTR, India, 1999, Survey
Y.P. Sinha in Siju Cave and Garo hills, India, 1990-95, Bats of northeastern India 
S. Kandula in Muroor, Karnataka, India, 1990, Survey"
"Eptesicus bottae (Peters, 1869)",BAT9,Non Endemic to South Asia,DATA DEFICIENT  in South Asia  ,Pakistan     Data Deficient ,Eptesicus_bottae_map.pdf,"Vesperus botae  Peters, 1869
Eptesicus ognevi  Bobrinskii, 1918",Botta's Serotine,Vespertilionidae,"Roost in buildings, arboreal, insectivore. ","Open desert, arid or semi arid regions, cultivated areas. ",Building and rock crevices in Palearctic regions. Up to 3400m. ,,"Turkey, Egypt, Yemen, Mongolia, Pakistan, Afghanistan ","AFGHANISTAN: Faizabad, ?Kabul; PAKISTAN: Northern areas: Shenkagarh ","101-5,000 sq km. ",11-500 sq km. ,3 / 3. Contiguous.,Not known., Literature; inferred. ,, Not known,,,, Not known, Not known, Not known,,,DATA DEFICIENT  ,,Pakistan     Data Deficient ,Assessed based on inference and on the consensus of field biologists.,, Not Evaluated, Lower Risk least concern,, Not listed,None,," Survey, life history, ecological studies. "," Monitoring, habitat management, public awareness", Techniques not known at all. ,No information on habitat quality.  No new information. Only one specimen described from Pakistan. Widespread in (Eastern) Palaearctic - marginal in this region.,"Peters, 1869; Wilson & Reeder, 1993; Bates & Harrison, 1997.","A.C. Girish, N. Gopukumar, J.K. Immanuel, S. Kandula, V.S. Korad, P.T. Nathan, A. Nobel, J.K. Raj, R. Rajashekar, K. Seedikkoya, E.A.A. Shukkur, D.P. Swamidoss, W. Yapa",Rest of the participants,None
"Eptesicus gobiensis Bobrinskii, 1926",BAT10,Non Endemic to South Asia,DATA DEFICIENT  in South Asia  ,"Nepal   Data Deficient 
Pakistan   Data Deficient ",Eptesicus_gobiensis_map.pdf,"Eptesticus nilssonii  Bobrinskii, 1926 
Eptesticus nilssonii centralasiaticus  Bobrinskii, 1926
Eptesticus nilssonii gobiensis  Bobrinskii, 1926
Eptesticus nilssonii kashgaricus  Bobrinskii, 1926  ",Bobrinskii's serotine ,Vespertilionidae,"Arboreal, insectivore in open habitat. ",Desert areas of former USSR. ,Rock crevices. 3200-3250m. ,,"Pakistan, Afghanistan, Nepal, Tibet, China, Mongolia, Russia and other Central Asian countries.",AFGHANISTAN: Kabul; NEPAL: No exact locality; PAKISTAN: Northern areas: Gilgit,"101-5,000 sq km.  Inferred based on literature",11-500 sq km.  Inferred based on literature,2 / not known. Fragmented.,Not known,Literature; inferred.,,Not known,,,,Not known,Not known,Not known,,,DATA DEFICIENT  ,,"Nepal   Data Deficient 
Pakistan   Data Deficient ",Assessed based on literature inference and on the consensus of field biologists.,,Not Evaluated,Lower Risk least concern,,Not listed,None,,Survey,Monitoring,,"E. nilsonii is a misidentificaton so it has to be treated as E. gobiensis.  No recent literature other than Bates and Harrison, 1997.  Widespread in eastern Palaearctic, marginal in this area.","Bates & Harrison, 1997; Bobrinskii, 1926; Chakraborty, 1983","A.C. Girish, N. Gopukumar, J.K. Immanuel, S. Kandula, J. Koilraj, V.S. Korad, P.T. Nathan, A. Nobel, R. Rajashekar, K. Seedikkoya, E.A.A. Shukkur, D.P. Swamidoss, W. Yapa",Rest of the participants,None
"Eptesicus nasutus (Dobson, 1877)",BAT11,Non Endemic to South Asia,DATA DEFICIENT in South Asia  ,Pakistan   Data Deficient  ,Eptesicus_nasutus_map.pdf,"Vesperugo (Vesperos) nasutus  Dobson, 1877",Sind Serotine Bat,Vespertilionidae,"Walls of ruined buildings, caves. ","Semi desert terrain, river borders. ",,,"Arabia, Iraq, Iran, Afganistan, Pakistan","AFGHANISTAN: Jalalabad, Laghman; PAKISTAN: Baluchistan: Kharan, near Rajbar, junction of Razhai & Sichk rivers in Baluchistan; Sind near Rohri","101-5,000 sq km. Inferred based on literature",11-500 sq km. Inferred based on literature,4 / not known. Contiguous.,Not known,Literature; inferred.,,Not known,,,,Not known,Not known,Not known,,,DATA DEFICIENT  ,,Pakistan   Data Deficient  ,Assessed based on literature inference and on the consensus of field biologists.,,Vulnerable A2c,Vulnerable A2c,,Not listed,None,,"Survey, life history, limiting factor research, ecological studies. ","Monitoring, habitat management, public awareness",,No recent studies available.,"Bates & Harrison, 1997; Dobson, 1877; Wilson & Reeder, 1993","A.C. Girish, N. Gopukumar, J.K. Immanuel, S. Kandula, V.S. Korad, A. Nobel, P.T. Nathan, J.K. Raj, R. Rajashekar, K. Seedikkoya, E.A. A.Shukkur, D.P. Swamidoss, W. Yapa",Rest of the participants,None
